display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Alaa Abdelnaby,Trail Blazers,30,Forward,6-10,240,Inactive,1990,1994
Kareem Abdul-Jabbar,Lakers,33,Center,7-2,225,Inactive,1969,1988
Tariq Abdul-Wahad,Kings,9,Forward-Guard,6-6,235,Inactive,1997,2003
Shareef Abdur-Rahim,Grizzlies,3,Forward,6-9,245,Inactive,1996,2007
Tom Abernethy,Warriors,5,Forward,6-7,220,Inactive,1976,1980
Forest Able,Nationals,6,Guard,6-3,180,Inactive,1956,1956
John Abramovic,Ironmen,,Forward,6-3,195,Inactive,1946,1947
Alex Abrines,,,Guard,6-6,200,Inactive,2016,2018
Precious Achiuwa,Raptors,5,Forward,6-8,225,Active,2020,2023
Alex Acker,Clippers,3,Guard,6-5,185,Inactive,2005,2008
Donald Ackerman,Knicks,,Guard,6-0,183,Inactive,1953,1953
Mark Acres,Magic,42,Center,6-11,220,Inactive,1987,1992
Charles Acton,Rockets,24,Forward,6-6,210,Inactive,1967,1967
Quincy Acy,,,Forward,6-7,240,Inactive,2012,2018
Alvan Adams,Suns,33,Center,6-9,210,Inactive,1975,1987
Don Adams,Pistons,10,Forward,6-7,210,Inactive,1970,1976
Hassan Adams,,,Forward,6-4,220,Inactive,2006,2008
Jaylen Adams,,,Guard,6-0,225,Inactive,2018,2020
Jordan Adams,Grizzlies,3,Guard,6-5,209,Inactive,2014,2015
Michael Adams,Nuggets,23,Guard,5-10,165,Inactive,1985,1995
Steven Adams,Grizzlies,4,Center,6-11,265,Active,2013,2023
Rafael Addison,Nets,7,Forward,6-8,241,Inactive,1986,1996
Bam Adebayo,Heat,13,Center-Forward,6-9,255,Active,2017,2023
Deng Adel,Cavaliers,32,Forward,6-7,200,Inactive,2018,2018
Rick Adelman,Trail Blazers,5,Guard,6-2,175,Inactive,1968,1974
Jeff Adrien,,,,,,Inactive,2010,2014
Arron Afflalo,Nuggets,4,Guard,6-5,210,Inactive,2007,2017
Ochai Agbaji,Jazz,30,Guard,6-5,215,Active,2022,2023
Maurice Ager,,,Forward-Guard,6-5,202,Inactive,2006,2010
Mark Aguirre,Mavericks,7,Forward,6-6,232,Inactive,1981,1993
Blake Ahearn,Heat,2,Guard,6-2,190,Inactive,2007,2011
Alexis Ajinca,Pelicans,42,Center,7-2,248,Inactive,2008,2017
Henry Akin,Knicks,10,Center,6-10,225,Inactive,1966,1967
Josh Akognon,Mavericks,10,Guard,5-11,185,Inactive,2012,2012
DeVaughn Akoon-Purcell,,,Guard-Forward,6-6,200,Inactive,2018,2018
Solomon Alabi,Raptors,50,Center,7-1,252,Inactive,2010,2011
Mark Alarie,Bullets,31,Forward,6-8,217,Inactive,1986,1990
Gary Alcorn,Pistons,24,Center,6-9,225,Inactive,1959,1960
Santi Aldama,Grizzlies,7,Forward-Center,7-0,215,Active,2021,2023
Furkan Aldemir,76ers,19,Forward-Center,6-10,240,Inactive,2014,2014
Cole Aldrich,Knicks,45,Center,6-11,253,Inactive,2010,2017
LaMarcus Aldridge,Nets,21,Center-Forward,6-11,250,Inactive,2006,2021
Cliff Alexander,Trail Blazers,34,Forward,6-8,240,Inactive,2015,2015
Cory Alexander,Spurs,12,Guard,6-1,190,Inactive,1995,2004
Joe Alexander,Bucks,20,Forward,6-8,230,Inactive,2008,2009
Kyle Alexander,Heat,17,Forward-Center,6-10,216,Inactive,2019,2019
Ty-Shon Alexander,Suns,0,Guard,6-3,195,Inactive,2020,2020
Victor Alexander,Warriors,9,Forward,6-10,265,Inactive,1991,2001
Nickeil Alexander-Walker,Timberwolves,9,Guard,6-5,205,Active,2019,2023
Steve Alford,Mavericks,4,Guard,6-2,183,Inactive,1987,1990
Rawle Alkins,Bulls,20,Guard,6-5,225,Inactive,2018,2018
Bob Allen,Warriors,50,Forward,6-9,205,Inactive,1968,1968
Grayson Allen,Bucks,12,Guard,6-4,198,Active,2018,2023
Jarrett Allen,Cavaliers,31,Center,6-9,243,Active,2017,2023
Kadeem Allen,,,Guard,6-1,200,Inactive,2017,2019
Lavoy Allen,Pacers,5,Forward-Center,6-9,260,Inactive,2011,2016
Lucius Allen,Bucks,42,Guard,6-2,175,Inactive,1969,1978
Malik Allen,Heat,35,Forward,6-10,255,Inactive,2001,2010
Tony Allen,,,Guard-Forward,6-4,213,Inactive,2004,2017
Odis Allison,Warriors,22,Forward,6-6,195,Inactive,1971,1971
Lance Allred,Cavaliers,41,Center,6-11,250,Inactive,2007,2007
Darrell Allums,Mavericks,32,Forward,6-8,220,Inactive,1980,1980
Morris Almond,Jazz,21,Guard,6-6,225,Inactive,2007,2011
Derrick Alston,,,Center,6-11,225,Inactive,1994,1996
Rafer Alston,Rockets,11,Guard,6-2,175,Inactive,1999,2009
Peter Aluma,,,Center,6-10,260,Inactive,1998,1998
Jose Alvarado,Pelicans,15,Guard,6-0,179,Active,2021,2023
John Amaechi,Magic,13,Forward-Center,6-10,270,Inactive,1995,2002
Lou Amundson,Suns,17,Forward,6-9,220,Inactive,2006,2015
Chris Andersen,,,Forward-Center,6-10,245,Inactive,2001,2016
David Andersen,,,,,,Inactive,2009,2017
Alan Anderson,Nets,9,Forward-Guard,6-6,220,Inactive,2005,2016
Antonio Anderson,,,Guard,6-6,215,Inactive,2009,2009
Daniel Anderson,Trail Blazers,33,Guard,6-2,185,Inactive,1974,1975
Derek Anderson,Trail Blazers,1,Guard,6-5,195,Inactive,1997,2007
Dwight Anderson,Nuggets,20,Guard,6-3,185,Inactive,1982,1982
Eric Anderson,Knicks,42,Forward,6-9,220,Inactive,1992,1993
Greg Anderson,Spurs,0,Center-Forward,6-10,250,Inactive,1987,1997
James Anderson,Spurs,5,Guard-Forward,6-6,213,Inactive,2010,2015
Jerome Anderson,Pacers,21-23,Guard,6-5,195,Inactive,1975,1976
Justin Anderson,,,Forward-Guard,6-5,231,Inactive,2015,2021
Kenny Anderson,,,Guard,6-1,168,Inactive,1991,2004
Kim Anderson,Trail Blazers,42,Forward,6-7,200,Inactive,1978,1978
Kyle Anderson,Timberwolves,5,Forward-Guard,6-9,230,Active,2014,2023
Michael Anderson,Spurs,10,Guard,5-11,184,Inactive,1988,1988
Mitchell Anderson,Jazz,11,Forward,6-8,195,Inactive,1982,1984
Nick Anderson,Magic,5,Forward-Guard,6-6,228,Inactive,1989,2002
Richard Anderson,Trail Blazers,35,Forward,6-10,240,Inactive,1982,1989
Ron Anderson,76ers,35,Forward,6-7,215,Inactive,1984,1993
Ryan Anderson,,,Forward,6-9,240,Inactive,2008,2019
Shandon Anderson,Knicks,49,Guard-Forward,6-6,215,Inactive,1996,2005
Willie Anderson,Spurs,35,Guard-Forward,6-8,200,Inactive,1988,1996
Martynas Andriuskevicius,Cavaliers,15,Center,7-2,240,Inactive,2005,2006
Don Anielak,Knicks,12,Forward,6-7,190,Inactive,1954,1954
Ike Anigbogu,,,Center,6-10,250,Inactive,2017,2018
Michael Ansley,Magic,54,Forward,6-7,225,Inactive,1989,1991
Chris Anstey,Mavericks,22,Center,7-0,249,Inactive,1997,1999
Giannis Antetokounmpo,Bucks,34,Forward,7-0,243,Active,2013,2023
Kostas Antetokounmpo,Lakers,37,Forward,6-10,200,Inactive,2018,2020
Thanasis Antetokounmpo,Bucks,43,Forward,6-7,219,Active,2015,2023
Carmelo Anthony,Lakers,7,Forward,6-7,238,Inactive,2003,2021
Cole Anthony,Magic,50,Guard,6-3,185,Active,2020,2023
Greg Anthony,Knicks,50,Guard,6-1,180,Inactive,1991,2001
Joel Anthony,Heat,30,Center,6-9,245,Inactive,2007,2016
Pero Antic,Hawks,6,Forward-Center,6-11,260,Inactive,2013,2014
O.G. Anunoby,Raptors,3,Forward,6-7,232,Active,2017,2023
Rafael Araujo,Raptors,55,Center,6-11,270,Inactive,2004,2006
Stacey Arceneaux,Hawks,,Forward,6-4,210,Inactive,1961,1961
Nate Archibald,Kings,1,Guard,6-1,150,Inactive,1970,1983
Robert Archibald,Raptors,34,Forward,6-11,250,Inactive,2002,2003
Ryan Arcidiacono,,,Guard,6-3,195,Inactive,2017,2022
Jim Ard,Celtics,34,Center,6-9,215,Inactive,1974,1977
Gilbert Arenas,Wizards,10,Guard,6-4,215,Inactive,2001,2011
Trevor Ariza,,,Forward,6-8,215,Inactive,2004,2021
Paul Arizin,Warriors,11,Forward,6-4,190,Inactive,1950,1961
Joe Arlauckas,Kings,53,Forward,6-9,230,Inactive,1987,1987
B.J. Armstrong,Bulls,11,Guard,6-2,185,Inactive,1989,1999
Brandon Armstrong,Nets,1,Guard,6-5,185,Inactive,2001,2003
Darrell Armstrong,Magic,10,Guard,6-1,180,Inactive,1994,2007
Hilton Armstrong,Hornets,57,Forward-Center,6-11,235,Inactive,2006,2013
Tate Armstrong,Bulls,14,Guard,6-3,175,Inactive,1977,1978
Jesse Arnelle,Pistons,15-18,Forward,6-5,220,Inactive,1955,1955
Bob Arnzen,Royals,21-30,Forward,6-5,205,Inactive,1970,1970
Carlos Arroyo,Magic,45,Guard,6-2,200,Inactive,2001,2010
Darrell Arthur,Nuggets,0,Forward,6-9,235,Inactive,2008,2017
John Arthurs,Bucks,12,Guard,6-4,185,Inactive,1969,1969
Jamel Artis,Magic,0,Guard,6-7,213,Inactive,2017,2017
Omer Asik,Pelicans,3,Center,7-0,255,Inactive,2010,2017
Vincent Askew,,,Guard,6-6,210,Inactive,1987,1997
Don Asmonga,Bullets,,Guard,6-2,185,Inactive,1953,1953
Richard Atha,Knicks,7,Guard,6-2,190,Inactive,1955,1957
Chucky Atkins,Pistons,17,Guard,5-11,185,Inactive,1999,2009
Chet Aubuchon,Falcons,,Guard,5-10,137,Inactive,1946,1946
Stacey Augmon,Hawks,2,Forward-Guard,6-8,213,Inactive,1991,2005
D.J. Augustin,Rockets,4,Guard,5-11,183,Active,2008,2023
James Augustine,Magic,40,Forward,6-10,235,Inactive,2006,2007
Ike Austin,,,Center,6-10,288,Inactive,1991,2001
John Austin,Bullets,34,Guard,6-0,170,Inactive,1966,1966
Anthony Avent,Bucks,30,Center,6-9,240,Inactive,1992,1999
William Averitt,Braves,15,Guard,6-2,170,Inactive,1976,1977
William Avery,Timberwolves,30,Guard,6-2,180,Inactive,1999,2002
Dennis Awtrey,Suns,20,Center,6-10,235,Inactive,1970,1981
Joel Ayayi,,,Guard,6-4,180,Inactive,2021,2021
Gustavo Ayon,,,,,,Inactive,2011,2016
Jeff Ayres,Spurs,19,Forward-Center,6-9,250,Inactive,2009,2015
Deandre Ayton,Suns,22,Center,7-0,250,Active,2018,2023
Kelenna Azubuike,Warriors,4,Guard,6-5,215,Inactive,2006,2011
Udoka Azubuike,Jazz,20,Center-Forward,6-11,270,Active,2020,2023
